,low,high,open,close,volume,price_change,average_price,volatility,pct_change,day_of_week,close_lag_1,volume_lag_1,close_lag_3,volume_lag_3,close_lag_7,volume_lag_7,close_MA10,close_ema_7,close_ema_14,close_ema_30,RSI,MACD,Signal_Line,volatility_7d,volatility_14d,volatility_30d,momentum_1d,momentum_7d,momentum_30d,month_of_year
low,1.0,0.9959352317830192,0.9963180354914482,0.9973232342451123,-0.27609857559386175,0.011351286367261484,0.9989168712398998,0.034911828336687115,0.021292685016113557,0.00839862744813251,0.0600879484357746,0.029348176051160364,0.11835589383369817,0.009852670372037017,0.15822162741661455,0.014388803376433933,0.5525963372268751,0.4340026673858109,0.6269614818096516,0.811885906221788,0.010986652489218018,-0.09266601239231613,-0.03175392072123476,0.02522738224989306,-0.017754249940178927,0.0072061946297256735,0.021292685016113557,0.025798284331331425,0.004356787217536776,-0.04621453167797188
high,0.9959352317830192,1.0,0.997923216113888,0.9976211632656109,-0.2210594331479913,-0.0013186209474238964,0.9990476105402312,0.11766542892276877,0.013845909635169934,-0.00940282819792316,0.0644828070317826,0.04278451678496053,0.12315517991416652,0.01627111286061268,0.16314147734324955,0.02574570458621876,0.5536361432550502,0.4352894650357736,0.6268160922937102,0.8109610225575974,0.008006146069711286,-0.09053223706076587,-0.033058519814888734,0.0205409089802375,-0.022880424090277705,-0.004057795568612259,0.013845909635169934,0.01932104546443617,-0.0022715013526548814,-0.045838916565298905
open,0.9963180354914482,0.997923216113888,1.0,0.9946784865732127,-0.23879657366606385,-0.04997391909960839,0.9981602042073725,0.09147929359725823,0.014417611302163272,-0.0019338561040380194,0.06244492056289846,0.03112049057851712,0.11534512042006712,0.01393911289795504,0.16375400215535804,0.023061125018016552,0.5532345005285694,0.4338190462248483,0.6263197971765275,0.8113633824695389,0.007963692939767293,-0.09300003272290759,-0.03376298363387895,0.024416726255832393,-0.02057540877618471,0.0006506127711002611,0.014417611302163272,0.02233593716755225,0.0015920824103420172,-0.04507556540419134
close,0.9973232342451123,0.9976211632656109,0.9946784865732127,1.0,-0.24849617101046798,0.05319099374589477,0.9984911113656283,0.07890624908293736,0.018289284399769543,-0.0014370288244370632,0.06263484444621521,0.04017420812327207,0.1253420245020244,0.013658041281035973,0.15724719565342873,0.018358147307876767,0.5537720907495313,0.43615144296579406,0.6279541114534922,0.8117890887701755,0.00833850032985135,-0.0894813094574996,-0.030706965590185504,0.022121503769674238,-0.019459998713018286,0.0008420594564707119,0.018289284399769543,0.020326442096880847,0.0006588451843774031,-0.044874593771655785
volume,-0.27609857559386175,-0.2210594331479913,-0.23879657366606385,-0.24849617101046798,1.0,-0.09441302843416106,-0.247946592348775,0.6936497118964706,-0.08555847434502059,-0.24235110323333164,-0.03427549957618922,0.16721840900663637,-0.0064129832791232026,0.13113492165135868,-0.03364989037505882,0.1855773197556152,-0.18922837304288265,-0.16117621902873783,-0.2304409579951288,-0.29059254764751413,-0.027923345322853284,0.01994660962001035,-0.014311869807848038,-0.11046974402168878,-0.12613452387088783,-0.18665614132501285,-0.08555847434502059,-0.08158487755617393,-0.05168732689065055,0.1359560840474077
price_change,0.011351286367261484,-0.0013186209474238964,-0.04997391909960839,0.05319099374589477,-0.09441302843416106,1.0,0.004817675173655518,-0.12173554508083516,0.03755524967731299,0.004813124353221345,0.001941834961866417,0.08781692412758407,0.09709601371560753,-0.0027022266743828237,-0.06281287093326181,-0.0455534692809886,0.006103671721856782,0.023309928314521274,0.016853188083356754,0.005435386730344346,0.003646226672856031,0.033960507973224266,0.029570583059812052,-0.02221050532181214,0.010779599832275078,0.0018569333728915378,0.03755524967731299,-0.019444019894494114,-0.009044233317522209,0.0018755197135954867
average_price,0.9989168712398998,0.9990476105402312,0.9981602042073725,0.9984911113656283,-0.247946592348775,0.004817675173655518,1.0,0.07769703499092934,0.01746740074841681,-0.0007888940745813178,0.06241938090331399,0.03631909814825328,0.12095549015346647,0.01317839299539105,0.1609240370014955,0.020270298002510786,0.5536953108862648,0.435108661382319,0.6275238012752841,0.8122335575813261,0.00945812164683381,-0.09165793736034822,-0.03246014796839604,0.0228320438088339,-0.020420432667967253,0.001394652382979124,0.01746740074841681,0.022478434081578992,0.0009371067638759682,-0.046067478445234365
volatility,0.034911828336687115,0.11766542892276877,0.09147929359725823,0.07890624908293736,0.6936497118964706,-0.12173554508083516,0.07769703499092934,1.0,-0.07333181945511172,-0.19257867920546043,0.03691114893631305,0.16673114237249897,0.054355990153392326,0.09032703533975069,0.05818134330263563,0.16773880921176954,0.047900362629013066,0.035107104075681066,0.03982000264524688,0.052509324944745285,-0.04013926903339008,-0.002570280447623964,-0.028806289738864295,-0.06157639037306072,-0.07573913927286155,-0.14285911945480342,-0.07333181945511172,-0.04464574526736263,-0.05803249825032693,-0.024388431730183114
pct_change,0.021292685016113557,0.013845909635169934,0.014417611302163272,0.018289284399769543,-0.08555847434502059,0.03755524967731299,0.01746740074841681,-0.07333181945511172,1.0,-0.048976183744894056,-0.17275556284500412,0.5018710104744369,0.013759703676829806,-0.06582354331552602,0.010896251910727928,-0.06166218915481385,0.027154827303053353,-0.08322018914765374,-0.02624827656685726,0.01911553614149579,-0.050012749186176056,-0.12329511478286499,-0.008797152863833233,0.015865779914780928,0.004012307123737411,0.0033765837512629055,1.0,0.017640540008574623,0.06389765235803903,-0.04758394189217297
day_of_week,0.00839862744813251,-0.00940282819792316,-0.0019338561040380194,-0.0014370288244370632,-0.24235110323333164,0.004813124353221345,-0.0007888940745813178,-0.19257867920546043,-0.048976183744894056,1.0,0.03525038154166539,-0.07012721041978678,0.002290199127762179,-0.03483928950961012,-0.00831755558096797,-0.009100107900757295,0.018951601978327837,0.04698222101700423,0.03539158252073469,0.020664597172162007,0.011188048863539453,0.052411298856263736,0.030707783703543795,0.03979640804235688,0.03266826189460703,0.030106948644685366,-0.04897618374489405,-0.02262109499065408,-0.024380653140966626,0.004634510901866727
close_lag_1,0.0600879484357746,0.0644828070317826,0.06244492056289846,0.06263484444621521,-0.03427549957618922,0.001941834961866417,0.06241938090331399,0.03691114893631305,-0.17275556284500412,0.03525038154166539,1.0,-0.13396092328375128,-0.05249986938339269,0.04893490517285692,-0.011282525704181737,-0.025912087864140867,0.25692894062903054,0.6680734946376636,0.4885345214299104,0.31380668552607177,0.04420083853471837,0.662978176881455,0.23131492213689564,0.08931451572482642,0.03959248115441396,0.05938323377228842,-0.17275556284500412,-0.050260638091776375,-0.015257079284366088,-0.01450219939683964
volume_lag_1,0.029348176051160364,0.04278451678496053,0.03112049057851712,0.04017420812327207,0.16721840900663637,0.08781692412758407,0.03631909814825328,0.16673114237249897,0.5018710104744369,-0.07012721041978678,-0.13396092328375128,1.0,0.06126961197734798,0.012141014317938164,0.05099768842149181,0.002632817381003618,0.007535208698025955,-0.0847665984638402,-0.05352805561736957,-0.026914372268272792,-0.09134181905361367,-0.09171034357208994,-0.018397331226734114,-0.045995240546919045,-0.05810769632024794,-0.10008265731949118,0.5018710104744369,-0.06615800099650837,0.024905756011438383,0.024498860733520488
close_lag_3,0.11835589383369817,0.12315517991416652,0.11534512042006712,0.1253420245020244,-0.0064129832791232026,0.09709601371560753,0.12095549015346647,0.054355990153392326,0.013759703676829806,0.002290199127762179,-0.05249986938339269,0.06126961197734798,1.0,-0.12177447458013614,-0.04999307078521592,0.010392294680347263,0.21375484878204992,0.2770956578364876,0.2851972048516886,0.2347202317790525,-0.01176182771797958,0.24722265599434737,0.2833873456451716,0.09687863921726085,0.04007961231463488,0.022361630899629458,0.0137597036768298,0.012364764334840794,0.04779776370193192,-0.023925011942967072
volume_lag_3,0.009852670372037017,0.01627111286061268,0.01393911289795504,0.013658041281035973,0.13113492165135868,-0.0027022266743828237,0.01317839299539105,0.09032703533975069,-0.06582354331552602,-0.03483928950961012,0.04893490517285692,0.012141014317938164,-0.12177447458013614,1.0,-0.008532815029647253,0.08392260608088464,-0.029944412929443772,-0.0178229281885465,-0.027251921235847822,-0.025109112125466924,0.022611159223904047,-0.016023309503813896,-0.04516424972334799,-0.022534802875751297,-0.03402208289277544,-0.05855799369101715,-0.06582354331552602,-0.04903544018615646,-0.021654195343791226,0.03604341791695493
close_lag_7,0.15822162741661455,0.16314147734324955,0.16375400215535804,0.15724719565342873,-0.03364989037505882,-0.06281287093326181,0.1609240370014955,0.05818134330263563,0.010896251910727928,-0.00831755558096797,-0.011282525704181737,0.05099768842149181,-0.04999307078521592,-0.008532815029647253,1.0,-0.12366817285492174,0.2594727518361014,0.024837133535005242,0.10831738350547652,0.15890293560839,0.02955346248946065,-0.07611761786690946,0.08517954462639438,-0.06007430189800365,0.013325480756038873,0.010639790817063477,0.010896251910727938,-0.1589151906788099,-0.05465447284892145,-0.014822789012655642
volume_lag_7,0.014388803376433933,0.02574570458621876,0.023061125018016552,0.018358147307876767,0.1855773197556152,-0.0455534692809886,0.020270298002510786,0.16773880921176954,-0.06166218915481385,-0.009100107900757295,-0.025912087864140867,0.002632817381003618,0.010392294680347263,0.08392260608088464,-0.12366817285492174,1.0,-0.05079070479063354,-0.029636922156851247,-0.030452150463586528,-0.025812012836009156,0.0022653476655699707,-0.024401892693855818,-0.027815048553307742,-0.01147894814223789,-0.0512602348289133,-0.07191233831829284,-0.061662189154813814,0.512679159458457,-0.03863867011823935,0.02314569212268116
close_MA10,0.5525963372268751,0.5536361432550502,0.5532345005285694,0.5537720907495313,-0.18922837304288265,0.006103671721856782,0.5536953108862648,0.047900362629013066,0.027154827303053353,0.018951601978327837,0.25692894062903054,0.007535208698025955,0.21375484878204992,-0.029944412929443772,0.2594727518361014,-0.05079070479063354,1.0,0.7191257708647838,0.8476540023078457,0.8271363007379069,0.1007584149282803,0.4320466461056255,0.6577755021328255,0.20021369214703272,0.13511017027851796,0.10322893220221697,0.027154827303053353,0.004308245166528148,-0.005838562705062433,-0.038219199240470375
close_ema_7,0.4340026673858109,0.4352894650357736,0.4338190462248483,0.43615144296579406,-0.16117621902873783,0.023309928314521274,0.435108661382319,0.035107104075681066,-0.08322018914765374,0.04698222101700423,0.6680734946376636,-0.0847665984638402,0.2770956578364876,-0.0178229281885465,0.024837133535005242,-0.029636922156851247,0.7191257708647838,1.0,0.9428866453742804,0.7852019485672046,0.04926650687179986,0.8234689800667517,0.6377901759884307,0.23226824518819325,0.12307022457746856,0.12006028610659972,-0.08322018914765372,0.021766833368916955,0.008597380646513914,-0.03743994487680295
close_ema_14,0.6269614818096516,0.6268160922937102,0.6263197971765275,0.6279541114534922,-0.2304409579951288,0.016853188083356754,0.6275238012752841,0.03982000264524688,-0.02624827656685726,0.03539158252073469,0.4885345214299104,-0.05352805561736957,0.2851972048516886,-0.027251921235847822,0.10831738350547652,-0.030452150463586528,0.8476540023078457,0.9428866453742804,1.0,0.9374713121775284,0.05016109544276376,0.6237795886261703,0.622846760996044,0.22944688640753677,0.13443428821730546,0.12513436373118947,-0.026248276566857243,0.03829003584565892,0.01250144981412959,-0.057212666642510304
close_ema_30,0.811885906221788,0.8109610225575974,0.8113633824695389,0.8117890887701755,-0.29059254764751413,0.005435386730344346,0.8122335575813261,0.052509324944745285,0.01911553614149579,0.020664597172162007,0.31380668552607177,-0.026914372268272792,0.2347202317790525,-0.025109112125466924,0.15890293560839,-0.025812012836009156,0.8271363007379069,0.7852019485672046,0.9374713121775284,1.0,0.03524582335025656,0.3145639052805092,0.39897707081237177,0.1706971455571437,0.10227411778870218,0.112443223017079,0.01911553614149581,0.055819549110604536,0.018508984653481247,-0.08152863050954845
RSI,0.010986652489218018,0.008006146069711286,0.007963692939767293,0.00833850032985135,-0.027923345322853284,0.003646226672856031,0.00945812164683381,-0.04013926903339008,-0.050012749186176056,0.011188048863539453,0.04420083853471837,-0.09134181905361367,-0.01176182771797958,0.022611159223904047,0.02955346248946065,0.0022653476655699707,0.1007584149282803,0.04926650687179986,0.05016109544276376,0.03524582335025656,1.0,0.055565939250102205,0.07608688419787114,0.029284222920995577,0.05078440014935168,-0.007095076332861796,-0.050012749186176084,0.006880703691941239,0.04312735336703676,0.0027014776681809987
MACD,-0.09266601239231613,-0.09053223706076587,-0.09300003272290759,-0.0894813094574996,0.01994660962001035,0.033960507973224266,-0.09165793736034822,-0.002570280447623964,-0.12329511478286499,0.052411298856263736,0.662978176881455,-0.09171034357208994,0.24722265599434737,-0.016023309503813896,-0.07611761786690946,-0.024401892693855818,0.4320466461056255,0.8234689800667517,0.6237795886261703,0.3145639052805092,0.055565939250102205,1.0,0.7517706041632545,0.23462582039737853,0.12495584682263913,0.08746576812658508,-0.12329511478286499,-0.01744489223563858,-0.004921040214833429,0.023604797124588055
Signal_Line,-0.03175392072123476,-0.033058519814888734,-0.03376298363387895,-0.030706965590185504,-0.014311869807848038,0.029570583059812052,-0.03246014796839604,-0.028806289738864295,-0.008797152863833233,0.030707783703543795,0.23131492213689564,-0.018397331226734114,0.2833873456451716,-0.04516424972334799,0.08517954462639438,-0.027815048553307742,0.6577755021328255,0.6377901759884307,0.622846760996044,0.39897707081237177,0.07608688419787114,0.7517706041632545,1.0,0.27727756398065284,0.19595636101325584,0.08986383028238817,-0.008797152863833238,-0.013323653939398852,-0.009596499268351757,0.027436018148905516
volatility_7d,0.02522738224989306,0.0205409089802375,0.024416726255832393,0.022121503769674238,-0.11046974402168878,-0.02221050532181214,0.0228320438088339,-0.06157639037306072,0.015865779914780928,0.03979640804235688,0.08931451572482642,-0.045995240546919045,0.09687863921726085,-0.022534802875751297,-0.06007430189800365,-0.01147894814223789,0.20021369214703272,0.23226824518819325,0.22944688640753677,0.1706971455571437,0.029284222920995577,0.23462582039737853,0.27727756398065284,1.0,0.7036139207114662,0.4758042538330194,0.01586577991478092,0.06525411898803206,0.012852929072908052,-0.022653230113401396
volatility_14d,-0.017754249940178927,-0.022880424090277705,-0.02057540877618471,-0.019459998713018286,-0.12613452387088783,0.010779599832275078,-0.020420432667967253,-0.07573913927286155,0.004012307123737411,0.03266826189460703,0.03959248115441396,-0.05810769632024794,0.04007961231463488,-0.03402208289277544,0.013325480756038873,-0.0512602348289133,0.13511017027851796,0.12307022457746856,0.13443428821730546,0.10227411778870218,0.05078440014935168,0.12495584682263913,0.19595636101325584,0.7036139207114662,1.0,0.6804300362469997,0.0040123071237374176,0.007043252909383014,0.002523550998058326,-0.01650766492355509
