,low,high,open,close,volume,price_change,average_price,volatility,pct_change,day_of_week,close_lag_1,volume_lag_1,close_lag_3,volume_lag_3,close_lag_7,volume_lag_7,close_MA10,close_ema_7,close_ema_14,close_ema_30,RSI,MACD,Signal_Line,volatility_7d,volatility_14d,volatility_30d,momentum_1d,momentum_7d,momentum_30d,month_of_year
low,1.0,0.9971719367051795,0.9977068998192088,0.9979356742373933,-0.13611134100328676,-0.0025270041110758133,0.9992286332936605,0.024345142565346835,-0.009659315217117659,0.0022683240723348503,0.0889212560645529,0.1258352830089456,0.08569405232215478,0.013607558779840333,0.1356881528868617,0.06977598710871634,0.5231497531106484,0.36952316262733975,0.5762863947599318,0.7738988651821908,0.028267949203535647,-0.1557707022689583,-0.0424243406734706,0.14224700025545545,0.1400840186253522,0.1536407043416586,0.2643269828478929,0.2599825044777344,0.2013736821769774,-0.022314058611829175
high,0.9971719367051795,1.0,0.9981837806351513,0.9985311660088778,-0.09736690190090025,-0.0011373045749691348,0.9993540556098729,0.07903266800211635,-0.0067768483049380065,-0.007628225401556494,0.08468322638417085,0.14169647802716046,0.08821455935763693,0.025765763485912235,0.13621890800323855,0.08468474592800129,0.518496271003585,0.3644959051103339,0.5713882800780392,0.770505261086703,0.03025038077701883,-0.16094021625339955,-0.049028237776104426,0.17494207679616827,0.17178412106874866,0.18235143443970084,0.2674123230499472,0.25979061293361194,0.1971642670273633,-0.017225304297409746
open,0.9977068998192088,0.9981837806351513,1.0,0.9963724204466995,-0.11645081151204524,-0.04780276853867035,0.9986608384416497,0.05591837334467686,-0.04403949112823244,-0.0038814825539431053,0.08354244737047951,0.1359790047702579,0.08388685205717054,0.025005454477883063,0.1355686416989815,0.07728915176837806,0.5185681588658619,0.3638567801853234,0.5711780474924945,0.7701341576748305,0.025862087485921902,-0.16109279573280336,-0.0470977969564873,0.1547285985788698,0.15430538199092214,0.17002035158837817,0.2643155949737496,0.2588865028901943,0.19714617003865464,-0.02091305916739855
close,0.9979356742373933,0.9985311660088778,0.9963724204466995,1.0,-0.11418701665910949,0.03737329297514221,0.9989517519799177,0.055463576189206984,0.022397498614868498,-0.0018946664166820525,0.08950840575402888,0.13886008013547876,0.0897104687161652,0.018431852129167394,0.13499959739463385,0.07716381939030653,0.522275321576198,0.36995505741188073,0.5762271593556679,0.7739738066449521,0.031565023316841516,-0.1556786935291368,-0.04446237433838559,0.16743954433529704,0.16161772134224683,0.17020732839292838,0.26824612548731097,0.2641464313932964,0.20001626287132307,-0.01843864226637543
volume,-0.13611134100328676,-0.09736690190090025,-0.11645081151204524,-0.11418701665910949,1.0,0.02717955620699743,-0.11596244079716311,0.7593536841412668,0.05211316149657894,-0.17422867661417626,-0.04473321524587001,0.14715635339246777,-0.03694646734937534,0.21410157696252424,-0.012930972654156474,0.1403441686428841,-0.12347049271826277,-0.10620973739227721,-0.14342999626165556,-0.17287231717138185,0.021637320188978057,-0.00248356770767697,-0.02431583974128023,0.4308939498539898,0.4435775529958165,0.4167091646889969,-0.027349474057344926,-0.04647779803572289,-0.0440479159639386,0.03425059741610191
price_change,-0.0025270041110758133,-0.0011373045749691348,-0.04780276853867035,0.03737329297514221,0.02717955620699743,1.0,-0.0018026325065890795,-0.00563029108419488,0.7800313107960615,0.02334044454126035,0.06958873002138756,0.033106111784672196,0.06791620105913503,-0.07728800168651498,-0.007387371958820944,-0.0018748582868127668,0.040803548202556765,0.06967739471405962,0.05627977195605126,0.04104436537419829,0.0668028489112454,0.06438936914819895,0.031179205773806014,0.14838583039968953,0.08502213662115947,0.0013064094027849952,0.04475358760158338,0.060385700650187515,0.03265765446801847,0.02915261360724567
average_price,0.9992286332936605,0.9993540556098729,0.9986608384416497,0.9989517519799177,-0.11596244079716311,-0.0018026325065890795,1.0,0.05293809075721296,-0.008159969271718566,-0.0029012956907485798,0.08676957956030172,0.13421208495853146,0.08707161940471604,0.019970170561757372,0.13606133389110756,0.07761551580182768,0.521087719297852,0.3671573028054841,0.574134068022127,0.772672275520835,0.02932379254825852,-0.15858194946731458,-0.04590502787285594,0.15943156581248621,0.15674715469772155,0.1687513864145375,0.2661258727772414,0.2600658809395971,0.19931639113529723,-0.01967080519627399
volatility,0.024345142565346835,0.07903266800211635,0.05591837334467686,0.055463576189206984,0.7593536841412668,-0.00563029108419488,0.05293809075721296,1.0,0.0026532938092304996,-0.14073024927675007,-0.02599393548341297,0.16418168227140753,0.023942681162080346,0.2636997264375132,0.009985585810658065,0.1815123222977716,-0.010143718315659935,-0.021872154475988524,-0.006883741653498397,0.017109225609383834,0.04023175008492464,-0.05279283497476628,-0.05110553459287974,0.5794248029361793,0.5631014738067314,0.5291897115483124,0.0300542337178147,0.0027788206626170437,-0.022110423747778697,0.020480756373011964
pct_change,-0.009659315217117659,-0.0067768483049380065,-0.04403949112823244,0.022397498614868498,0.05211316149657894,0.7800313107960615,-0.008159969271718566,0.0026532938092304996,1.0,0.0179055966630824,0.07759181842990348,0.03400818904363538,0.065063311322198,-0.09002866287257989,-0.0037397847852236564,-0.007427482844951478,0.032730384833022264,0.07058909894384244,0.05951843574184912,0.046461505321163166,0.04444124793163685,0.05954558097294378,0.02971614534635457,0.17550394787978746,0.12646498075228546,0.029461283322451504,0.039365896180631695,0.031619793124192073,0.026589595192564937,0.008535390957691718
day_of_week,0.0022683240723348503,-0.007628225401556494,-0.0038814825539431053,-0.0018946664166820525,-0.17422867661417626,0.02334044454126035,-0.0029012956907485798,-0.14073024927675007,0.0179055966630824,1.0,-0.02591511929165447,-0.05006636241382516,-0.010088989611013696,-0.08180362518932541,-0.0382071914079597,-0.01648317880300009,-0.005828759423610111,-0.02334209520383727,-0.019771771053295847,-0.012674912468672693,0.005751719341100012,-0.024033937535576103,-0.021391962197350605,-0.07428631978656068,-0.05742219032300647,0.03678062701234296,0.010832334381442493,0.005483523532457814,0.05218487647239368,0.0018404417401568934
close_lag_1,0.0889212560645529,0.08468322638417085,0.08354244737047951,0.08950840575402888,-0.04473321524587001,0.06958873002138756,0.08676957956030172,-0.02599393548341297,0.07759181842990348,-0.02591511929165447,1.0,-0.13699165849916972,-0.09102009626539048,-0.008756760047656496,-0.012989200428557768,0.03669160619092629,0.28684754420015063,0.6780079709697974,0.5074688107707149,0.3415404132647697,0.04400643988402372,0.6390628129584389,0.24645144438969438,0.008662263338283906,0.05269018924153323,0.006561593570703905,-0.15626432443948746,0.004813713067787467,0.014286180605623089,-0.0071225804508448344
volume_lag_1,0.1258352830089456,0.14169647802716046,0.1359790047702579,0.13886008013547876,0.14715635339246777,0.033106111784672196,0.13421208495853146,0.16418168227140753,0.03400818904363538,-0.05006636241382516,-0.13699165849916972,1.0,0.04845852382019036,0.06461112747993095,-0.022241325260802122,0.06272262334810752,0.01989788779274563,-0.05895298020877842,-0.01628359038280343,0.023061984120041748,0.0041302383540712025,-0.09799704184984295,-0.030138153645983344,0.2118710107703085,0.24989864876636642,0.22844505077930552,0.46860071616214605,-0.016473189104345674,-0.01948211885646448,0.03930623557831217
close_lag_3,0.08569405232215478,0.08821455935763693,0.08388685205717054,0.0897104687161652,-0.03694646734937534,0.06791620105913503,0.08707161940471604,0.023942681162080346,0.065063311322198,-0.010088989611013696,-0.09102009626539048,0.04845852382019036,1.0,-0.12877138225245777,-0.05885492704304857,0.023199659156395158,0.19129674887047637,0.24455003801228997,0.26926705656237027,0.2293424706999533,-0.002902090196475185,0.20461649707467985,0.2885522649185505,0.015354504778469447,-0.047036898194526965,-0.0019519258922928414,0.009611044828935426,0.07642093206731088,0.02244816721216877,-0.03030632183919976
volume_lag_3,0.013607558779840333,0.025765763485912235,0.025005454477883063,0.018431852129167394,0.21410157696252424,-0.07728800168651498,0.019970170561757372,0.2636997264375132,-0.09002866287257989,-0.08180362518932541,-0.008756760047656496,0.06461112747993095,-0.12877138225245777,1.0,0.00606224803928701,0.05503422382321761,0.027074758613778022,-0.027637717751057618,-0.02167118585006609,-0.01680928453697049,0.005490383522951975,-0.022410870292611358,-0.0033783021678221187,0.13536776865481917,0.17777444314325383,0.18377714046491922,-0.03612879568138401,-0.038133769527964635,-0.03406776836876822,0.048318991013016344
close_lag_7,0.1356881528868617,0.13621890800323855,0.1355686416989815,0.13499959739463385,-0.012930972654156474,-0.007387371958820944,0.13606133389110756,0.009985585810658065,-0.0037397847852236564,-0.0382071914079597,-0.012989200428557768,-0.022241325260802122,-0.05885492704304857,0.00606224803928701,1.0,-0.12452778989716938,0.26817733321464665,0.02939319874600177,0.11521473199059423,0.1648249673248215,0.06651371070036505,-0.07087214054372117,0.09394677877134258,0.02141285102660938,0.032016509898517446,0.019689843320440055,0.019279675458911884,-0.14205852421322204,0.11601640947846922,-0.004918512167453586
volume_lag_7,0.06977598710871634,0.08468474592800129,0.07728915176837806,0.07716381939030653,0.1403441686428841,-0.0018748582868127668,0.07761551580182768,0.1815123222977716,-0.007427482844951478,-0.01648317880300009,0.03669160619092629,0.06272262334810752,0.023199659156395158,0.05503422382321761,-0.12452778989716938,1.0,-0.025198098286178618,0.019902028654220322,0.01810927097571519,0.023564080620626104,0.010194802429386264,4.8426044559674784e-05,-0.02506667466140028,0.1341661680180704,0.16580186073500622,0.2081448017083578,-0.016660193736218458,0.4390867993400944,-0.02579426462015908,-0.0077921980053438505
close_MA10,0.5231497531106484,0.518496271003585,0.5185681588658619,0.522275321576198,-0.12347049271826277,0.040803548202556765,0.521087719297852,-0.010143718315659935,0.032730384833022264,-0.005828759423610111,0.28684754420015063,0.01989788779274563,0.19129674887047637,0.027074758613778022,0.26817733321464665,-0.025198098286178618,1.0,0.7163418629536727,0.8406386563910403,0.8141578466391215,0.15683752608232107,0.427123045322768,0.6686303883021906,0.03784736704590007,0.0677593492454113,0.060756152586437344,0.0898006681400225,0.07302170253636807,0.11137657646525628,-0.03820466418942045
close_ema_7,0.36952316262733975,0.3644959051103339,0.3638567801853234,0.36995505741188073,-0.10620973739227721,0.06967739471405962,0.3671573028054841,-0.021872154475988524,0.07058909894384244,-0.02334209520383727,0.6780079709697974,-0.05895298020877842,0.24455003801228997,-0.027637717751057618,0.02939319874600177,0.019902028654220322,0.7163418629536727,1.0,0.9399951638820412,0.7732165971647854,0.09989826724915721,0.8188988859608407,0.6790182193605114,0.013944588906170632,0.04425913462308514,0.02664028207022863,-0.011697354861515014,0.0815953126766757,0.07790897019403835,-0.05243307636989439
close_ema_14,0.5762863947599318,0.5713882800780392,0.5711780474924945,0.5762271593556679,-0.14342999626165556,0.05627977195605126,0.574134068022127,-0.006883741653498397,0.05951843574184912,-0.019771771053295847,0.5074688107707149,-0.01628359038280343,0.26926705656237027,-0.02167118585006609,0.11521473199059423,0.01810927097571519,0.8406386563910403,0.9399951638820412,1.0,0.9344245503435973,0.10976950262478934,0.608550911868086,0.6536396438412616,0.03955690653252605,0.06018074439469252,0.05443886386719062,0.08049681115621111,0.14696822423314604,0.12627005851472353,-0.07680704954337302
close_ema_30,0.7738988651821908,0.770505261086703,0.7701341576748305,0.7739738066449521,-0.17287231717138185,0.04104436537419829,0.772672275520835,0.017109225609383834,0.046461505321163166,-0.012674912468672693,0.3415404132647697,0.023061984120041748,0.2293424706999533,-0.01680928453697049,0.1648249673248215,0.023564080620626104,0.8141578466391215,0.7732165971647854,0.9344245503435973,1.0,0.08520545866333529,0.28769137912331194,0.4216701217039094,0.08579309887576926,0.08747043480745138,0.08645440480548941,0.17321071305969682,0.22010956526102476,0.17569667886984178,-0.09565515639063096
RSI,0.028267949203535647,0.03025038077701883,0.025862087485921902,0.031565023316841516,0.021637320188978057,0.0668028489112454,0.02932379254825852,0.04023175008492464,0.04444124793163685,0.005751719341100012,0.04400643988402372,0.0041302383540712025,-0.002902090196475185,0.005490383522951975,0.06651371070036505,0.010194802429386264,0.15683752608232107,0.09989826724915721,0.10976950262478934,0.08520545866333529,1.0,0.098662122136509,0.15598625670589064,0.07419576825390677,0.07384688801202269,0.05709475153485208,0.017165588303564856,0.02318558974053438,0.04189894663479419,0.02897955377697641
MACD,-0.1557707022689583,-0.16094021625339955,-0.16109279573280336,-0.1556786935291368,-0.00248356770767697,0.06438936914819895,-0.15858194946731458,-0.05279283497476628,0.05954558097294378,-0.024033937535576103,0.6390628129584389,-0.09799704184984295,0.20461649707467985,-0.022410870292611358,-0.07087214054372117,4.8426044559674784e-05,0.427123045322768,0.8188988859608407,0.608550911868086,0.28769137912331194,0.098662122136509,1.0,0.7729219043202298,-0.07395513841083566,-0.023911745852257287,-0.041377621021394057,-0.1678156229990736,-0.08749644784882782,-0.046226131838595426,0.005310395291053812
Signal_Line,-0.0424243406734706,-0.049028237776104426,-0.0470977969564873,-0.04446237433838559,-0.02431583974128023,0.031179205773806014,-0.04590502787285594,-0.05110553459287974,0.02971614534635457,-0.021391962197350605,0.24645144438969438,-0.030138153645983344,0.2885522649185505,-0.0033783021678221187,0.09394677877134258,-0.02506667466140028,0.6686303883021906,0.6790182193605114,0.6536396438412616,0.4216701217039094,0.15598625670589064,0.7729219043202298,1.0,-0.10107969526348537,-0.04815827806189342,-0.030828061684505623,-0.07348582273237127,-0.06516691886341,-0.024181673726118746,-0.01473292696798754
volatility_7d,0.14224700025545545,0.17494207679616827,0.1547285985788698,0.16743954433529704,0.4308939498539898,0.14838583039968953,0.15943156581248621,0.5794248029361793,0.17550394787978746,-0.07428631978656068,0.008662263338283906,0.2118710107703085,0.015354504778469447,0.13536776865481917,0.02141285102660938,0.1341661680180704,0.03784736704590007,0.013944588906170632,0.03955690653252605,0.08579309887576926,0.07419576825390677,-0.07395513841083566,-0.10107969526348537,1.0,0.7148474485186085,0.5492522659491326,0.031819933531032366,0.05890028549857321,-0.02818675199814043,0.07229380326879403
