,Unnamed: 0,low,high,open,close,volume,price_change,average_price,volatility
Unnamed: 0,1.0,-0.5157691023751764,-0.5222465266944609,-0.5186099218366427,-0.5175202261887075,-0.11291266124722525,0.014213906881703346,-0.5195476262540583,-0.20539839349817196
low,-0.5157691023751764,1.0,0.9972116445962549,0.9973001836603369,0.9977631641024148,0.19579075390563547,-0.0006537248150817394,0.9992236030707379,0.23561280965411008
high,-0.5222465266944609,0.9972116445962549,1.0,0.9978360965004041,0.9980443079894343,0.23678647049875823,-0.0033134027521286393,0.9993774894965007,0.29351034779033647
open,-0.5186099218366427,0.9973001836603369,0.9978360965004041,1.0,0.9954045774548186,0.21813442697979815,-0.053417623244142516,0.9982769303919408,0.27328957836095663
close,-0.5175202261887075,0.9977631641024148,0.9980443079894343,0.9954045774548186,1.0,0.2185464426646813,0.04244982720838847,0.9986057296132002,0.26620871224275355
volume,-0.11291266124722525,0.19579075390563547,0.23678647049875823,0.21813442697979815,0.2185464426646813,1.0,0.003097520340256892,0.21757033828658687,0.7747312014949811
price_change,0.014213906881703346,-0.0006537248150817394,-0.0033134027521286393,-0.053417623244142516,0.04244982720838847,0.003097520340256892,1.0,-0.002058336162151402,-0.07534146099301181
average_price,-0.5195476262540583,0.9992236030707379,0.9993774894965007,0.9982769303919408,0.9986057296132002,0.21757033828658687,-0.002058336162151402,1.0,0.26634328496427606
volatility,-0.20539839349817196,0.23561280965411008,0.29351034779033647,0.27328957836095663,0.26620871224275355,0.7747312014949811,-0.07534146099301181,0.26634328496427606,1.0
