,time,low,high,open,close,volume,price_change,average_price,volatitlity,product_id
17,2021-12-10,46900.0,50148.49,47568.43,47170.94,15689.5742182,-397.48999999999796,48524.244999999995,6.926417910447757,BTC-USD
18,2021-12-09,47323.23,50844.86,50520.94,47568.43,15749.4243393,-2952.510000000002,49084.045,7.441651806100297,BTC-USD
19,2021-12-08,48650.02,51250.0,50625.24,50519.68,13138.99183299,-105.55999999999767,49950.009999999995,5.344252684788215,BTC-USD
20,2021-12-07,50067.1,51995.0,50529.56,50625.48,14107.33216632,95.92000000000553,51031.05,3.850632451250425,BTC-USD
21,2021-12-06,47200.0,51105.0,49484.21,50529.56,23082.30465624,1045.3499999999985,49152.5,8.273305084745761,BTC-USD
22,2021-12-05,47827.0,49783.0,49235.26,49484.22,21727.13821193,248.95999999999913,48805.0,4.089740104961632,BTC-USD
23,2021-12-04,42333.0,53876.09,53633.02,49241.12,39023.32978526,-4391.899999999994,48104.545,27.26735643587744,BTC-USD
24,2021-12-03,51640.0,57670.68,56521.45,53638.04,19567.63113833,-2883.409999999996,54655.34,11.678311386522076,BTC-USD
25,2021-12-02,55845.0,57423.69,57226.51,56521.46,12969.21952648,-705.0500000000029,56634.345,2.8269137792103183,BTC-USD
26,2021-12-01,56465.75,59118.84,56998.35,57226.5,16607.30872879,228.15000000000146,57792.295,4.698582769200792,BTC-USD
27,2021-11-30,55910.33,59249.77,57838.06,56987.97,18038.78770838,-850.0899999999965,57580.05,5.972849739931771,BTC-USD
28,2021-11-29,56730.0,58908.27,57318.51,57838.06,13454.23335496,519.5499999999956,57819.134999999995,3.8397144368059175,BTC-USD
29,2021-11-28,53327.0,57490.0,54759.04,57317.17,8222.42493442,2558.1299999999974,55408.5,7.806552028053332,BTC-USD
30,2021-11-27,53642.58,55316.67,53757.67,54759.05,7899.30349126,1001.3800000000047,54479.625,3.120823047661012,BTC-USD
31,2021-11-26,53533.0,59194.0,58994.72,53757.67,25946.30174683,-5237.050000000003,56363.5,10.5747856462369,BTC-USD
32,2021-11-25,57037.04,59445.99,57158.58,58987.27,10668.67680723,1828.689999999995,58241.515,4.223483546832019,BTC-USD
33,2021-11-24,55875.01,57607.97,57562.65,57162.66,12509.25971944,-399.98999999999796,56741.490000000005,3.1014938520816355,BTC-USD
34,2021-11-23,55377.0,57886.03,56280.81,57566.85,14019.78167156,1286.0400000000009,56631.515,4.530816042761433,BTC-USD
35,2021-11-22,55641.03,59526.51,58671.22,56280.81,15889.22078935,-2390.4100000000035,57583.770000000004,6.983120190262479,BTC-USD
36,2021-11-21,58509.69,60070.0,59760.76,58671.21,6661.36635434,-1089.550000000003,59289.845,2.6667548571868998,BTC-USD
37,2021-11-20,57423.35,59900.0,58122.15,59760.76,7584.65241653,1638.6100000000006,58661.675,4.312966763520417,BTC-USD
38,2021-11-19,55625.0,58412.12,56898.46,58122.16,18554.56064192,1223.7000000000044,57018.56,5.010552808988769,BTC-USD
39,2021-11-18,56514.13,60977.21,60351.51,56898.0,26749.21203012,-3453.510000000002,58745.67,7.897281617889193,BTC-USD
40,2021-11-17,58380.0,60824.38,60101.56,60351.51,20907.21545076,249.95000000000437,59602.19,4.187016101404587,BTC-USD
