,time,low,high,open,close,volume,price_change,average_price,volatitlity
0,2024-06-20,64500.0,66455.52,64945.67,64841.46,9346.70807899,-104.20999999999913,65477.76,3.0318139534883786
1,2024-06-19,64635.48,65709.26,65150.9,64943.79,4958.38361329,-207.11000000000058,65172.369999999995,1.661285721093108
2,2024-06-18,64010.01,66574.33,66481.81,65152.8,15937.73176483,-1329.0099999999948,65292.17,4.006123417259269
3,2024-06-17,65050.0,67274.96,66629.38,66481.81,14487.64060903,-147.57000000000698,66162.48000000001,3.4203843197540453
4,2024-06-16,65999.0,66931.18,66192.0,66628.75,2118.65163435,436.75,66465.09,1.4124153396263475
5,2024-06-15,65800.86,66428.57,66004.36,66192.0,2004.1421548,187.63999999999942,66114.715,0.9539540972564894
6,2024-06-14,65005.0,67322.72,66746.44,66004.39,11520.15791899,-742.0500000000029,66163.86,3.5654488116298766
7,2024-06-13,66200.0,68474.49,68248.59,66746.44,11916.13211129,-1502.1499999999942,67337.245,3.435785498489434
8,2024-06-12,66883.32,70032.0,67316.52,68248.6,17140.01139413,932.0800000000017,68457.66,4.7077208487856055
9,2024-06-11,66018.69,69547.82,69495.97,67316.53,17354.68915468,-2179.4400000000023,67783.255,5.345652874966172
10,2024-06-10,69141.51,70187.53,69641.08,69497.73,6088.40363232,-143.35000000000582,69664.51999999999,1.5128683189013432
11,2024-06-09,69123.99,69848.94,69303.8,69637.87,1826.03995531,334.06999999999243,69486.465,1.0487675841628892
12,2024-06-08,69126.22,69546.58,69326.71,69304.05,2631.94610412,-22.660000000003492,69336.4,0.6081049998104924
13,2024-06-07,68298.55,71974.04,70773.63,69324.53,13768.98185265,-1449.1000000000058,70136.295,5.381505171046809
14,2024-06-06,70093.98,71650.56,71120.65,70773.64,7716.5079994,-347.00999999999476,70872.26999999999,2.220704260194673
15,2024-06-05,70356.49,71804.13,70541.68,71121.11,10123.1802918,579.4300000000076,71080.31,2.0575784835201403
16,2024-06-04,68542.37,71108.9,68791.04,70542.32,18042.19396496,1751.2800000000134,69825.635,3.744443035745626
17,2024-06-03,67568.0,70295.78,67731.14,68791.0,11884.90882705,1059.8600000000006,68931.89,4.037088562633198
18,2024-06-02,67260.0,68411.0,67719.29,67735.52,2997.15241527,16.230000000010477,67835.5,1.7112696996729113
19,2024-06-01,67371.28,67837.33,67473.07,67719.29,1949.57008052,246.2199999999866,67604.305,0.6917636120317188
20,2024-05-31,66584.47,69024.71,68338.58,67472.41,10690.85876224,-866.1699999999983,67804.59,3.664878612084778
21,2024-05-30,67092.91,69536.89,67569.44,68338.58,11841.26381893,769.1399999999994,68314.9,3.6426799791512927
22,2024-05-29,67081.66,68864.11,68322.26,67569.45,8970.02059069,-752.8099999999977,67972.88500000001,2.6571346028109577
23,2024-05-28,67194.59,69533.96,69366.31,68321.98,11975.93086328,-1044.3300000000017,68364.275,3.481485637459816
24,2024-05-27,68210.12,70613.39,68470.8,69368.72,5384.62278063,897.9199999999983,69411.755,3.5233334877581277
25,2024-05-26,68097.38,69522.0,69306.93,68473.72,2037.67329089,-833.2099999999919,68809.69,2.0920334967365783
26,2024-05-25,68487.44,69605.03,68545.52,69289.67,2501.11901959,744.1499999999942,69046.235,1.631817454412074
27,2024-05-24,66587.91,69278.75,67932.79,68547.8,10374.95988085,615.0100000000093,67933.33,4.041033875368661
28,2024-05-23,66259.0,70066.95,69109.93,67940.45,14340.27843589,-1169.479999999996,68162.975,5.74706832279388
29,2024-05-22,68887.52,70659.99,70146.89,69109.93,10889.10300904,-1036.9600000000064,69773.755,2.572991450410758
30,2024-05-21,69146.01,71980.0,71432.16,70142.84,16102.06132545,-1289.320000000007,70563.005,4.098558976866497
31,2024-05-20,66057.03,71560.9,66260.04,71432.17,20415.88691709,5172.130000000005,68808.965,8.331997366517985
32,2024-05-19,65852.02,67701.91,66923.87,66261.62,3565.11346165,-662.25,66776.965,2.809162118337447
33,2024-05-18,66624.06,67407.79,67046.34,66923.87,3880.58113972,-122.47000000000116,67015.92499999999,1.176346803241946
34,2024-05-17,65113.46,67500.0,65252.17,67046.33,11710.00723895,1794.1600000000035,66306.73,3.6652022485059175
35,2024-05-16,64588.5,66772.83,66244.68,65252.18,12012.70197182,-992.4999999999927,65680.66500000001,3.3819178336700833
36,2024-05-15,61299.57,66480.0,61539.7,66244.69,21821.38858725,4704.990000000005,63889.785,8.451005447509665
37,2024-05-14,61024.51,63103.02,62927.43,61539.84,13456.61307634,-1387.5900000000038,62063.765,3.4060248906545825
38,2024-05-13,60738.51,63456.18,61453.01,62932.37,9170.80865115,1479.3600000000006,62097.345,4.474377129106391
39,2024-05-12,60576.05,61843.45,60814.64,61453.02,2694.97577935,638.3799999999974,61209.75,2.0922460279268686
40,2024-05-11,60450.13,61482.0,60787.99,60814.63,2338.06810837,26.639999999999418,60966.065,1.7069773050943027
41,2024-05-10,60150.0,63470.0,63073.55,60787.47,11511.12990976,-2286.0800000000017,61810.0,5.519534497090607
42,2024-05-09,60601.6,63424.14,61169.53,63073.57,8360.0553824,1904.0400000000009,62012.869999999995,4.657533794487276
43,2024-05-08,60851.04,63013.05,62315.75,61169.53,7486.42596849,-1146.2200000000012,61932.045,3.5529548878704493
44,2024-05-07,62252.64,64415.06,63161.35,62315.76,8994.93773002,-845.5899999999965,63333.85,3.4736197533148765
45,2024-05-06,62704.48,65523.44,64023.45,63164.06,11241.77217344,-859.3899999999994,64113.96000000001,4.495627744620478
46,2024-05-05,62908.34,64636.75,63902.88,64023.45,4474.5195919,120.56999999999971,63772.545,2.7475053387198
47,2024-05-04,62565.82,64546.0,62913.03,63902.88,6414.57464352,989.8499999999985,63555.91,3.1649549226718365
48,2024-05-03,58821.05,63365.72,59070.3,62913.03,15954.29032707,3842.729999999996,61093.385,7.726264662055502
49,2024-05-02,56903.79,59641.03,58267.81,59071.89,13593.00905888,804.0800000000017,58272.41,4.810294709719683
50,2024-05-01,56500.0,60785.49,60621.2,58265.59,26611.9312734,-2355.6100000000006,58642.744999999995,7.584938053097341
51,2024-04-30,59040.3,64727.81,63845.01,60622.1,21106.65540758,-3222.9100000000035,61884.055,9.63326744613424
52,2024-04-29,61741.01,64200.0,63109.76,63844.85,10712.13554316,735.0899999999965,62970.505000000005,3.982749877269578
53,2024-04-28,62743.81,64333.33,63422.34,63108.94,4415.96831554,-313.3999999999942,63538.57,2.533349504915312
54,2024-04-27,62389.0,63900.0,63742.39,63422.0,5312.16741262,-320.3899999999994,63144.5,2.4219012967029445
55,2024-04-26,63287.76,64810.0,64484.44,63742.39,10151.96247701,-742.0500000000029,64048.880000000005,2.405267622048873
56,2024-04-25,62747.18,65287.69,64255.77,64484.49,13256.29877715,228.72000000000116,64017.435,4.048803468139926
57,2024-04-24,63542.56,67077.97,66418.0,64255.78,15083.5524347,-2162.220000000001,65310.265,5.563845712228156
58,2024-04-23,65823.66,67225.66,66856.07,66418.0,8840.16749844,-438.070000000007,66524.66,2.1299332185417823
59,2024-04-22,64520.0,67272.73,64952.92,66859.17,10977.05178637,1906.25,65896.36499999999,4.266475511469305
60,2024-04-21,64250.0,65725.81,64960.82,64952.92,4487.48723219,-7.900000000001455,64987.905,2.296980544747078
61,2024-04-20,63121.15,65463.08,63841.96,64968.87,5157.40726514,1126.9100000000035,64292.115000000005,3.7102144051557997
62,2024-04-19,59573.32,65498.99,63514.84,63848.37,22838.07934159,333.5300000000061,62536.155,9.946852047191593
63,2024-04-18,60816.07,64210.0,61275.73,63513.85,15249.84211445,2238.1199999999953,62513.035,5.580646694204345
64,2024-04-17,59648.33,64524.14,63814.94,61279.36,21812.15297865,-2535.5800000000017,62086.235,8.174260704365063
65,2024-04-16,61645.09,64400.0,63454.0,63814.94,17710.28213211,360.9400000000023,63022.545,4.468985283337251
66,2024-04-15,62315.08,66928.82,65764.56,63452.18,21672.73701332,-2312.3799999999974,64621.950000000004,7.403890037531855
67,2024-04-14,62150.0,65890.91,64021.36,65777.05,21604.05147827,1755.6900000000023,64020.455,6.01916331456155
68,2024-04-13,60822.01,69100.0,67148.62,64008.1,27548.47240557,-3140.519999999997,64961.005000000005,13.610188153926511
69,2024-04-12,65110.31,71265.74,70020.71,67148.61,23509.75554216,-2872.100000000006,68188.025,9.453848399738856
70,2024-04-11,69530.0,71305.86,70638.4,70020.73,11001.16448135,-617.6699999999983,70417.93,2.554091758952971
71,2024-04-10,67463.07,71159.6,69115.79,70634.04,16655.987797,1518.25,69311.335,5.479338547741747
72,2024-04-09,68200.0,71761.37,71616.31,69117.01,15143.52341376,-2499.300000000003,69980.685,5.221950146627559
73,2024-04-08,69037.33,72777.0,69350.36,71622.53,16648.69284289,2272.1699999999983,70907.16500000001,5.416880983085525
74,2024-04-07,68846.23,70312.0,68919.57,69350.34,5766.41938443,430.7699999999895,69579.11499999999,2.1290490416105636
75,2024-04-06,67469.19,69685.0,67856.51,68919.89,3985.44167764,1063.3800000000047,68577.095,3.2841805274377793
76,2024-04-05,66000.0,68783.99,68528.46,67856.51,15515.82134206,-671.9500000000116,67391.995,4.218166666666675
77,2024-04-04,65073.95,69367.19,65984.18,68525.23,18624.08140025,2541.050000000003,67220.57,6.597478714600859
78,2024-04-03,64500.0,66944.06,65472.0,65987.92,14506.55934744,515.9199999999983,65722.03,3.7892403100775156
79,2024-04-02,64521.61,69711.0,69681.85,65465.14,23496.58634089,-4216.710000000006,67116.305,8.042871217875684
80,2024-04-01,68055.15,71313.8,71291.5,69681.82,13916.60016523,-1609.679999999993,69684.475,4.7882489422182
81,2024-03-31,69587.86,71399.91,69623.86,71291.28,4424.66955382,1667.4199999999983,70493.88500000001,2.603974313910505
82,2024-03-30,69569.03,70363.25,69903.74,69626.87,3262.62331859,-276.8700000000099,69966.14,1.14162868161307
83,2024-03-29,69036.95,70941.7,70804.06,69903.75,7365.03204354,-900.3099999999977,69989.325,2.759029765944179
84,2024-03-28,68841.01,71635.99,69436.83,70801.18,15224.17928189,1364.3499999999913,70238.5,4.060050833071756
