,time,low,high,open,close,volume,price_change,average_price,volatitlity,product_id
0,2024-06-20,64500.0,66455.52,64945.67,64841.46,9346.70807899,-104.20999999999913,65477.76,3.0318139534883786,BTC-USD
1,2024-06-19,64635.48,65709.26,65150.9,64943.79,4958.38361329,-207.11000000000058,65172.369999999995,1.661285721093108,BTC-USD
2,2024-06-18,64010.01,66574.33,66481.81,65152.8,15937.73176483,-1329.0099999999948,65292.17,4.006123417259269,BTC-USD
3,2024-06-17,65050.0,67274.96,66629.38,66481.81,14487.64060903,-147.57000000000698,66162.48000000001,3.4203843197540453,BTC-USD
4,2024-06-16,65999.0,66931.18,66192.0,66628.75,2118.65163435,436.75,66465.09,1.4124153396263475,BTC-USD
5,2024-06-15,65800.86,66428.57,66004.36,66192.0,2004.1421548,187.63999999999942,66114.715,0.9539540972564894,BTC-USD
6,2024-06-14,65005.0,67322.72,66746.44,66004.39,11520.15791899,-742.0500000000029,66163.86,3.5654488116298766,BTC-USD
7,2024-06-13,66200.0,68474.49,68248.59,66746.44,11916.13211129,-1502.1499999999942,67337.245,3.435785498489434,BTC-USD
8,2024-06-12,66883.32,70032.0,67316.52,68248.6,17140.01139413,932.0800000000017,68457.66,4.7077208487856055,BTC-USD
9,2024-06-11,66018.69,69547.82,69495.97,67316.53,17354.68915468,-2179.4400000000023,67783.255,5.345652874966172,BTC-USD
10,2024-06-10,69141.51,70187.53,69641.08,69497.73,6088.40363232,-143.35000000000582,69664.51999999999,1.5128683189013432,BTC-USD
11,2024-06-09,69123.99,69848.94,69303.8,69637.87,1826.03995531,334.06999999999243,69486.465,1.0487675841628892,BTC-USD
12,2024-06-08,69126.22,69546.58,69326.71,69304.05,2631.94610412,-22.660000000003492,69336.4,0.6081049998104924,BTC-USD
13,2024-06-07,68298.55,71974.04,70773.63,69324.53,13768.98185265,-1449.1000000000058,70136.295,5.381505171046809,BTC-USD
14,2024-06-06,70093.98,71650.56,71120.65,70773.64,7716.5079994,-347.00999999999476,70872.26999999999,2.220704260194673,BTC-USD
